Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2026-03-19 20:04:39,false,"Majadahonda Walking","6.41","472","01:06:17","120","150","3.1","112","247","10:21","6:02","74","73","0.87","0.0","--","--","--","7,482","--","--","No","00:04:16.7","7","01:06:04","01:06:17","677","750"
Walking,2026-03-18 10:46:40,false,"Majadahonda Walking","1.64","103","00:17:40","124","142","1.0","101","210","10:49","9:52","6","43","0.92","0.0","--","--","--","1,968","--","--","No","00:06:52.3","2","00:17:40","00:17:40","679","722"
Trail Running,2026-03-18 10:13:00,false,"Majadahonda - R20 W04 (02:00)","3.48","268","00:33:08","140","166","2.6","124","165","9:32","7:23","33","25","0.86","0.0","--","--","--","4,230","--","--","No","00:00:07.8","17","00:33:07","00:33:08","716","750"
Walking,2026-03-18 10:02:07,false,"Majadahonda Walking","1.01","82","00:10:08","138","158","2.0","112","250","10:03","7:52","38","5","0.87","0.0","--","--","--","1,210","--","--","No","00:00:02.1","2","00:10:07","00:10:08","689","722"
Walking,2026-03-17 10:59:00,false,"Majadahonda Walking","1.01","65","00:11:00","126","134","0.7","97","222","10:55","9:04","6","38","0.94","0.0","--","--","--","1,204","--","--","No","00:00:05.5","2","00:10:58","00:11:00","679","715"
Trail Running,2026-03-17 10:28:00,false,"Majadahonda - R20 W05 (03:00)","3.15","242","00:31:05","145","171","2.5","125","225","9:52","7:48","40","34","0.83","0.0","--","--","--","3,974","--","--","No","00:00:01.0","14","00:31:05","00:31:05","707","746"
Walking,2026-03-17 10:20:31,false,"Majadahonda Walking","0.63","49","00:07:03.7","127","142","0.9","104","228","11:10","10:38","22","--","0.86","0.0","--","--","--","784","--","--","No","00:07:03.7","1","00:06:55","00:07:03.7","685","711"
Trail Running,2026-03-14 11:50:47,false,"Boadilla del Monte - Week 3 Running","3.67","265","00:35:24","134","168","2.7","122","231","9:38","6:28","22","29","0.87","0.0","--","--","--","4,566","--","--","No","00:01:30","17","00:35:18","00:35:24","720","738"
Walking,2026-03-13 14:37:19,false,"Las Rozas de Madrid Walking","0.69","43","00:09:25.2","--","--","0.2","98","234","13:40","10:02","--","3","0.74","0.0","--","--","--","958","--","--","No","00:09:25.2","1","00:09:07","00:09:48.6","739","745"
Walking,2026-03-10 12:22:49,false,"Majadahonda Walking","2.23","142","00:26:38","114","123","1.1","103","231","11:56","10:38","24","70","0.82","0.0","--","--","--","2,878","--","--","No","00:02:50.5","3","00:26:37","00:26:38","670","717"
Trail Running,2026-03-10 11:49:00,false,"Majadahonda - Week 3 Running","3.47","270","00:33:07","141","168","3.0","125","243","9:32","6:44","39","38","0.86","0.0","--","--","--","4,296","--","--","No","00:00:06.7","17","00:33:07","00:33:07","717","750"
Walking,2026-03-10 11:38:07,false,"Majadahonda Walking","1.00","93","00:10:05","135","143","2.3","111","250","10:06","2:21","35","--","0.89","0.0","--","--","--","1,202","--","--","No","00:10:05","1","00:10:04","00:10:05","685","722"
Pilates,2026-03-09 19:08:08,false,"Pilates","0.00","107","00:43:52","83","111","0.2","--","--","--","--","--","--","0.00","0.0","--","--","--","--","--","1","No","00:43:52","1","00:43:52","00:43:52","--","--"
Walking,2026-03-08 13:02:11,false,"Majadahonda Walking","4.71","333","00:54:44","120","138","2.2","99","242","11:37","7:42","36","54","0.88","0.0","--","--","--","5,868","--","--","No","00:08:13.3","5","00:53:53","00:54:50","719","750"
Trail Running,2026-03-08 12:30:25,false,"Majadahonda - Week 2 Running","3.21","252","00:31:06","140","163","2.7","119","231","9:42","5:50","35","24","0.86","0.0","--","--","--","3,828","--","--","No","00:00:06.3","21","00:31:05","00:31:06","725","750"
Walking,2026-03-08 12:16:19,false,"Majadahonda Walking","1.16","77","00:13:25","118","136","0.7","90","120","11:34","9:39","15","15","0.96","0.0","--","--","--","1,464","--","--","No","00:01:52.1","2","00:13:14","00:13:31","720","735"
Running,2026-03-07 15:30:19,false,"Alcobendas Running","2.72","207","00:19:36","162","190","3.1","145","235","7:12","5:05","46","47","0.96","0.0","--","--","--","2,922","--","--","No","00:05:18.2","3","00:19:19","00:47:33","660","678"
Walking,2026-03-07 12:16:41,false,"Boadilla del Monte Walking","3.73","259","00:38:48","120","141","2.3","104","222","10:23","8:03","18","15","0.93","0.0","--","--","--","4,430","--","--","No","00:07:13.6","4","00:38:30","00:38:48","720","735"
Walking,2026-03-05 09:28:01,false,"Majadahonda Walking","1.81","133","00:21:04","121","142","1.6","99","237","11:40","8:43","36","30","0.86","0.0","--","--","--","2,308","--","--","No","00:09:02.7","2","00:21:03","00:21:04","679","701"
Running,2026-03-05 08:52:49,false,"Majadahonda - Week 3 Running","3.86","295","00:33:15","149","179","3.3","128","243","8:37","2:51","53","52","0.91","0.0","--","--","--","4,556","--","--","No","00:00:15.3","17","00:33:15","00:33:35","678","728"
Running,2026-03-04 13:17:48,false,"Majadahonda - Week 2 Running","2.87","223","00:31:07","132","162","2.3","115","225","10:51","6:26","54","28","0.80","0.0","--","--","--","3,682","--","--","No","00:00:06.9","21","00:31:01","00:31:07","688","722"
Running,2026-03-03 09:30:15,false,"Majadahonda - Week 3 Running","3.42","272","00:33:04","146","175","2.9","125","231","9:41","6:46","68","35","0.83","0.0","--","--","--","4,224","--","--","No","00:00:03.9","17","00:33:03","00:33:04","677","722"
Trail Running,2026-03-01 12:37:48,false,"Boadilla del Monte - Week 1 Running","1.41","100","00:13:16","122","155","2.0","105","184","9:26","4:20","5","7","1.01","0.0","--","--","--","1,590","--","--","No","00:00:16.1","10","00:12:59","00:13:16","726","735"
Walking,2026-02-28 12:37:03,false,"Madrid Walking","3.19","233","00:41:15","121","134","1.8","89","237","12:56","6:23","18","51","0.87","0.0","--","--","--","4,256","--","--","No","00:02:45.8","4","00:40:28","00:43:16","659","692"
Walking,2026-02-28 12:37:00,false,"Walking - MyFitnessPal","--","167","00:41:00","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","No","00:41:00","1","--:--:--","00:41:00","--","--"
Trail Running,2026-02-28 12:05:02,false,"Alcobendas - Week 2 Running","3.25","256","00:31:02","145","173","3.0","113","239","9:33","5:38","41","5","0.94","0.0","--","--","--","3,754","--","--","No","00:00:02.1","21","00:30:53","00:31:25","658","697"
Running,2026-02-26 13:17:26,false,"Majadahonda - Week 2 Running","3.20","255","00:31:06","145","175","2.8","118","182","9:43","5:16","65","39","0.87","0.0","--","--","--","3,756","--","--","No","00:00:06.5","21","00:31:05","00:31:06","683","722"
